id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"4091",Yes,,Bend,4603.911,Potable,Glue,PVC,"2","2","0",FIT3823,,Active,,,,"90",,d29d1e57-2bb5-459b-8546-ce08f13414e3,lkoons,2019/02/13,2019/02/13,lkoons,,1397586.47416198,3260523.71911997,./0.png
"4092",Yes,,Bend,4900.11,Potable,Mechanical,DuctileIron,"4","4","0",FIT3824,,Active,Tyler,Star,,"45",,f3ca2bb1-ac00-4111-8ba2-612ab9b426f9,lkoons,2019/02/13,2019/02/13,lkoons,,1423584.20530289,3183089.66696739,./0.png
"4093",Yes,,Bend,4899.581,Potable,Mechanical,DuctileIron,"4","4","0",FIT3825,,Active,Tyler,Star,,22 1/2,,57cc0933-8cd3-4ed2-8248-bc56022a4c8a,lkoons,2019/02/13,2019/02/13,lkoons,,1423597.24891198,3183096.92482689,./0.png
"4094",Yes,,Tee,4879.678,Potable,Mechanical,DuctileIron,"4","2","180",FIT3826,,Active,Tyler,Star,"3500",,,b4aa8bc9-dff3-4554-b546-383467de4649,lkoons,2019/02/13,2019/02/13,lkoons,,1424237.98647565,3183969.15995905,./0.png
"4095",Yes,,Saddle,4763.673,Potable,Other,Other,"12","4","0",FIT3827,,Active,Powerseal,,,,,1cbbf82e-63a9-4c70-a2f3-a28f12125452,lkoons,2019/02/13,2019/02/13,lkoons,,1423768.20034173,3242560.13824931,./0.png
"4096",Yes,,Coupling,4881.952,Potable,Other,Other,"1","0.75","0",FIT3828,,Active,,,,,,a7931b11-c7ea-419d-809e-3bf67a8bd559,lkoons,2019/02/13,2019/02/13,lkoons,,1437324.90354323,3207074.65114956,./0.png
"4097",Yes,,Coupling,4881.978,Potable,Other,Other,"1","0.75","0",FIT3829,,Active,,,,,,f36e1bff-e811-41fe-bd95-d02bbb31cc75,lkoons,2019/02/13,2019/02/13,lkoons,,1437325.29199389,3207074.98612264,./0.png
"4098",Yes,,Saddle,5262.97,Potable,Other,Other,"8","1","0",FIT3830,,Active,,,,,,79429bb7-cb34-4cc8-93f2-f4a00920ef47,lkoons,2019/02/13,2019/02/13,lkoons,,1465756.67509164,3161738.8727268,./0.png
"4099",Yes,,Saddle,5228.349,Potable,Other,Other,"8","1","0",FIT3831,,Active,,,,,,0cc01244-f965-448c-b684-f770c65ce835,lkoons,2019/02/13,2019/02/13,lkoons,,1465793.42337772,3162785.19445306,./0.png
"4100",Yes,,Saddle,5233.736,Potable,Other,Other,"8","1","0",FIT3832,,Active,,,,,,583bf9f7-7608-4548-beef-835b323a1745,lkoons,2019/02/13,2019/02/13,lkoons,,1465823.52961673,3163692.59191647,./0.png
