id,enabled,installdat,type,elevation,watertype,diameter,rotation,tracerwire,modelid,comment,status,openleft,curopen,turnsclose,mfg,megalugmfg,megalugmdl,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"882",Yes,,Gate,4831.27,Potable,"6","90",No,V615,,Active,Yes,Yes,"20",,,,,fad5488e-c10a-4149-9cdd-e75be8a10f6e,2019/02/13,lkoons,2019/02/13,lkoons,,3259848.80806822,1439677.70723656,./0.png
"883",Yes,,Gate,4829.46,Potable,"10","0",No,V616,,Active,Yes,Yes,"32",,,,,d83620f9-199a-406a-93a5-297b9974bbfd,2019/02/13,lkoons,2019/02/13,lkoons,,3259884.58358721,1439679.46970023,./0.png
"884",Yes,,Gate,4829.28,Potable,"10","0",No,V617,,Active,Yes,Yes,"32",,,,,b10d8692-7c0e-48a8-9ec2-6995f7ae1a35,2019/02/13,lkoons,2019/02/13,lkoons,,3259890.20299855,1439679.29581606,./0.png
"885",Yes,,Gate,4828.47,Potable,"4","90",No,V618,,Active,Yes,Yes,"15",,,,,87063066-bd4e-426e-87d1-c1ace78b2a63,2019/02/13,lkoons,2019/02/13,lkoons,,3259887.37984148,1439677.31320848,./0.png
"886",Yes,,Gate,4829,Potable,"6","0",No,V619,,Active,Yes,Yes,"20",,,,,4fbf6c53-3fcf-4c31-b2c5-58b56f212761,2019/02/13,lkoons,2019/02/13,lkoons,,3259890.76828614,1439689.69179264,./0.png
"887",Yes,,Gate,4828.94,Potable,"6","90",No,V620,,Active,Yes,Yes,"20",,,,,74cc3acf-298e-4a91-9e46-1ddda6741674,2019/02/13,lkoons,2019/02/13,lkoons,,3259888.18233331,1439692.6455269,./0.png
"888",No,,Gate,4830.91,Potable,"2","0",No,V621,,Active,Yes,No,"8",,,,,5699cc1e-59cd-4da1-b77f-87e542c422ed,2019/02/13,lkoons,2019/02/13,lkoons,,3259890.80995272,1439639.78080323,./0.png
"889",Yes,,Gate,4787.02,Potable,"4","45",No,V622,,Active,Yes,Yes,"15",,,,,6affb1b6-193c-4925-8e93-bdc57a27711c,2019/02/13,lkoons,2019/02/13,lkoons,,3256089.71059956,1439676.69050631,./0.png
"890",Yes,,Gate,4849.64,Potable,"4","90",No,V623,,Active,Yes,Yes,"15",,,,,2657edbb-29b7-4d69-9ac3-e66e287d70af,2019/02/13,lkoons,2019/02/13,lkoons,,3260026.64531097,1444026.50759406,./0.png
"891",Yes,,Gate,4837.96,Potable,"2","0",No,V624,,Active,Yes,No,"8",,,,,30ae2d51-7517-4728-a7f3-b6ed070cf24e,2019/02/13,lkoons,2019/02/13,lkoons,,3259994.38684531,1441870.75403155,./0.png
"892",Yes,,Gate,4832.24,Potable,"6","0",No,V625,,Active,Yes,Yes,"20",,,,,7544f6d3-3be3-41c4-8aed-5ce3c52de396,2019/02/13,lkoons,2019/02/13,lkoons,,3260173.15059538,1439700.27444865,./0.png
