X,Y,id,enabled,installdat,type,elevation,watertype,diameter,comment,model,status,mfg,surveyelev,globalid,creationda,creator,editdate,editor,icon_url
-104.978624436744,40.5807919081709,ARV31,Yes,,Manual,4981.55,Potable,"24",,,Active,,,a0f5bb3a-c64c-43f4-aa15-ac31ae420574,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.056940261582,40.5888858198152,ARV32,Yes,,Manual,4937.25,Potable,"1",,,Active,,,2769d0a3-dfb7-4ecd-82ea-e9b1c9880a80,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.908152089724,40.5266677084271,ARV33,Yes,,Manual,4919.05,Potable,"12",,,Active,,,98b258d9-f672-41f9-ae65-5ec3eda99b3a,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.926764835417,40.5885722036913,ARV34,Yes,,Manual,5085.35,Potable,Unknown,,,Active,,,ebdac963-100e-4351-ba12-b2d9e6015953,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.92674447165,40.5893155256688,ARV35,Yes,,Manual,5094,Potable,"24",,,Active,,,a93055cd-496e-443c-bdbe-7b4cbbddabb8,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.888202164269,40.5090135537597,ARV36,Yes,2003/02/01,Auto,4895.55,Potable,"3",,,Active,,,f65cd78d-992d-4d25-b327-0f2d592cf945,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.888868547479,40.5088016314833,ARV37,Yes,2003/05/01,Auto,4888.16,Potable,"1",,,Active,,,fb72dfde-e3fc-4f76-8e06-7afff49202e4,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.908204129712,40.5198097322779,ARV38,Yes,2003/02/01,Auto,4915.82,Potable,"3",,,Active,,,2a1d5e0c-8146-43c8-a853-1e1bf0bd3193,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.908297536389,40.5303300691229,ARV39,Yes,2003/02/01,Auto,4921.42,Potable,"3",,,Active,,,e96f2d17-f6db-493d-be4c-91c3c30c4f21,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.879626445008,40.515721915864,ARV41,Yes,,Manual,4983.51,Potable,"1",,,Active,,,ac2f236d-cad5-4cb8-b5e9-3b4142c51655,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.870083292303,40.5137148068261,ARV42,Yes,,Manual,4927.01,Potable,"1",,,Active,,,f3bdd7a1-f4e8-4522-ba78-6d46f84d4080,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.776837865533,40.5240473226073,ARV43,Yes,,Manual,4861.49,Potable,"2.5",,,Active,,,12837785-afcf-45eb-8b39-8b12578ac77d,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.774260735895,40.5372141379729,ARV44,Yes,,Manual,4935.48,Potable,"4",,,Active,,,7d612c50-b662-4652-8db2-13b974e5167c,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.725279601047,40.4812461695049,ARV48,Yes,,Manual,4772.37,Potable,"6",,,Active,,,a4ab7fe2-a620-4d19-bae7-3d5ef25a8005,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.731665198093,40.4812217118913,ARV49,Yes,,Manual,4773.65,Potable,"6",,,Active,,,a9553f26-b280-4b46-863c-e73015627261,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.722162393698,40.4812050858399,ARV50,Yes,,Manual,4754.73,Potable,"6",,,Active,,,f1063082-2139-454d-9899-25f2f08734c1,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.735017267264,40.490573569755,ARV51,Yes,,Manual,4820.9,Potable,"6",,,Active,,,3df57281-d09f-4b48-abc1-85d2ad607ac8,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.154952092046,40.5902424022511,ARV52,Yes,,Manual,5205.8047,Potable,Unknown,,,Active,,,8b558bda-ae97-4a56-bc24-9d886d6c829e,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-105.158630968606,40.5919272808096,ARV53,Yes,,Manual,5220.5292,Potable,Unknown,,,Active,,,403611e5-5b80-466d-b236-e3bc42936100,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.832309053402,40.5809736934544,ARV54,Yes,,Auto,0,Potable,"1",,,Active,,,d1851156-72ba-4241-a56a-a0c304a4209f,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.907501142811,40.5110998315395,ARV55,Yes,,Auto,0,Potable,"1",,,Active,,,387abfa6-edfa-4369-a486-cb09faaafc98,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.975554871362,40.6432445680205,ARV56,Yes,,Manual,5184.2,Potable,"8",,,Active,,,6ebf7256-a628-4b8e-8d3e-24f91bce0e86,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.841300834131,40.5378848117104,ARV57,Yes,,Manual,4954.04,Potable,"20",,,Active,,,6c3db038-77fd-42a7-9cb0-b8847a2920dc,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.807927121679,40.5382110617362,ARV58,Yes,,Manual,4903.15,Potable,"20",,,Active,,,4a0a7a97-b0bd-4572-895c-de4039d976e6,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.820063220286,40.5380556621064,ARV59,Yes,,Manual,4926.85,Potable,"20",,,Active,,,10acb570-56dd-4228-8e0b-879c2111fc4e,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.832785820749,40.5379225606951,ARV60,Yes,,Manual,4954.6,Potable,"20",,,Active,,,ab1d27f7-ef2c-47c7-b3a3-c827fb5ccecb,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.771519800758,40.5385622809925,ARV61,Yes,,Manual,4937.85,Potable,"20",,,Active,,,db26c43d-8675-4e7e-8427-e8b5557495e6,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
